"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\pages\admin\a_viewAssignment.php", "PHP", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 356
"c:\xampp\htdocs\mainProject\pages\admin\a_viewQuiz.php", "PHP", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 324
"c:\xampp\htdocs\mainProject\pages\admin\a_viewanswers.php", "PHP", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 267
"c:\xampp\htdocs\mainProject\pages\admin\a_viewattendanceBD.php", "PHP", 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56, 651
"c:\xampp\htdocs\mainProject\pages\admin\a_viewbyrank.php", "PHP", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 218
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\c3.bundle.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\countTo.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\datatablescripts.bundle.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\flotscripts.bundle.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\footable.bundle.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\fullcalendarscripts.bundle.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\jvectormap.bundle.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\knob.bundle.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\bundles\libscripts.bundle.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
